"@odata.etag","nycsr_admininterventiontype@OData.Community.Display.V1.FormattedValue","nycsr_admininterventiontype","nycsr_caseid","nycsr_interventionenddate@OData.Community.Display.V1.FormattedValue","nycsr_interventionenddate","nycsr_casenumber","nycsr_interventionstartdate@OData.Community.Display.V1.FormattedValue","nycsr_interventionstartdate","nycsr_building.nycsr_address","nycsr_building.nycsr_latitude@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_latitude","nycsr_building.nycsr_buildingid","nycsr_building.nycsr_borough@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_borough","nycsr_building.nycsr_longitude@OData.Community.Display.V1.FormattedValue","nycsr_building.nycsr_longitude","nycsr_building.nycsr_geographicaldistrictcode","nycsr_building.nycsr_buildingname","nycsr_locationsite.nycsr_sitename"
"W/""300612817""","Classroom Closed",882450000,"c3630df6-bcfa-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048029","8/12/2021","2021-08-12T04:00:00Z","191 VERMONT AVENUE","40,613,322.000000",40613322,"51fdc1bd-32f4-ea11-b882-24ee9a37d45c","Staten Island",882450004,"-74,068,963.000000",-74068963,"31","P.S. 13 - STATEN ISLAND","Summer - ES SUMMER RISING - Elementary - P.S. 013 M. L. Lindemeyer - R013 - R013 - 31R013 - 191 VERMONT AVENUE"
"W/""301224072""","Classroom Closed",882450000,"095ec0cf-61fb-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048069","8/13/2021","2021-08-13T04:00:00Z","1633 EAST  8 STREET","40,608,801.000000",40608801,"65a5db98-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,964,586.000000",-73964586,"21","P.S. 238 - BROOKLYN","Summer - MS SUMMER RISING - Middle School - P.S. 238 Anne Sullivan - K238 - K238 - 21K238 - 1633 EAST  8 STREET"
"W/""301224084""","Classroom Closed",882450000,"bce40a55-64fb-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048072","8/13/2021","2021-08-13T04:00:00Z","345 BROOK AVENUE","40,810,314.000000",40810314,"942aa42b-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,918,774.000000",-73918774,"7","J.H.S. 222 - BRONX","Summer - HS Summer School - High School - International Community High School - X334 - X139 - 07X334 - 345 BROOK AVENUE"
"W/""301860867""","Classroom Closed",882450000,"91327191-72fb-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048086","8/14/2021","2021-08-14T04:00:00Z","1485 PACIFIC STREET","40,677,266.000000",40677266,"3388e6db-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,942,390.000000",-73942390,"17","CROWN HEIGHTS CHARTER SCHOOLS - BROOKLYN","Excellence Girls Charter School - K712 - K434 - 84K712 - 1485 PACIFIC STREET"
"W/""301272157""","Classroom Closed",882450000,"d75642be-80fb-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048100","8/13/2021","2021-08-13T04:00:00Z","70-35 150 STREET","40,729,746.000000",40729746,"0b9c4c1f-32f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,816,966.000000",-73816966,"25","P.S. 165 - QUEENS","Summer - ASD - Elementary - P.S. 165 Edith K. Bergtraum - Q165 - Q165 - 25Q165 - 70-35 150 STREET"
"W/""301380819""","Classroom Closed",882450000,"256f56d2-9ffb-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048125","8/13/2021","2021-08-13T04:00:00Z","57-12 94 STREET","40,735,613.000000",40735613,"b172c880-32f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,867,882.000000",-73867882,"24","JOHN F. KENNEDY JR. SCHOOL - QUEENS","Summer - CHAPTER 683 - High School - John F. Kennedy Jr. School - Q721 - Q722 - 75Q721 - 57-12 94 STREET"
"W/""301711973""","Classroom Closed",882450000,"6c6fb893-2efc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048136","8/14/2021","2021-08-14T04:00:00Z","430 HOWARD AVENUE","40,673,124.000000",40673124,"def57030-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,920,095.000000",-73920095,"23","P.S. 12 - BROOKLYN","Summer - ES SUMMER RISING - Elementary - Dr. Jacqueline Peek-Davis School - K012 - K012 - 17K012 - 430 HOWARD AVENUE"
"W/""301711997""","Classroom Closed",882450000,"5ce582f8-34fc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048143","8/14/2021","2021-08-14T04:00:00Z","355 37 STREET","40,654,306.000000",40654306,"0de2abc9-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-74,005,168.000000",-74005168,"15","P.S. 371 (OLD 615) - BROOKLYN","Summer - CHAPTER 683 - High School - P.S. 371 - Lillian L. Rashkis - K371 - K371 - 75K371 - 355 37 STREET"
"W/""301712001""","Classroom Closed",882450000,"fc8e509b-35fc-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048144","8/14/2021","2021-08-14T04:00:00Z","350 GRAND STREET","40,717,329.000000",40717329,"8834aa92-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,989,329.000000",-73989329,"2","SEWARD PARK HS - MANHATTAN","Summer - HS Summer School - High School - Essex Street Academy - M294 - M445 - 02M294 - 350 GRAND STREET"
"W/""301712010""","Classroom Closed",882450000,"1206882b-3bfc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048147","8/14/2021","2021-08-14T04:00:00Z","1970 WEST FARMS ROAD","40,839,297.000000",40839297,"152ed53d-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,879,931.000000",-73879931,"12","P.S. 214 - BRONX","Summer - ES MS SUMMER RISING - Elementary, Middle School - P.S. 214 - X214 - X167 - 12X214 - 1970 WEST FARMS ROAD"
"W/""301712054""","Classroom Closed",882450000,"1c68c8c9-4afc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048160","8/14/2021","2021-08-14T04:00:00Z","1328 PUTNAM AVENUE","40,693,318.000000",40693318,"d50d3c5b-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,913,378.000000",-73913378,"32","P.S. 106 - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 106 Edward Everett Hale - K106 - K106 - 32K106 - 1328 PUTNAM AVENUE"
"W/""301712066""","Classroom Closed",882450000,"48f7bfba-4dfc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048164","8/14/2021","2021-08-14T04:00:00Z","76 Dinsmore Place","40,680,655.000000",40680655,"89afadd7-370e-eb11-a813-001dd8309fa8","Brooklyn",882450002,"-73,875,152.000000",-73875152,"19","District 19 S.T.E.M. Academies","Summer - CHAPTER 683 - Elementary - P.S. K004 - K004 - K667 - 75K004 - 76 Dinsmore Place"
"W/""301712082""","Classroom Closed",882450000,"f294d4a4-51fc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048170","8/14/2021","2021-08-14T04:00:00Z","850 BAYCHESTER AVENUE","40,874,035.000000",40874035,"e38a0044-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,831,669.000000",-73831669,"11","P.S. 178 - BRONX","Summer - CHAPTER 683 - Elementary - P.S. X596 - X596 - X178 - 75X596 - 850 BAYCHESTER AVENUE"
"W/""301712122""","Classroom Closed",882450000,"c6f9cfaa-64fc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048183","8/14/2021","2021-08-14T04:00:00Z","301 WEST 140 STREET","40,820,216.000000",40820216,"e3ce496e-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,944,551.000000",-73944551,"5","P.S. 123 - MANHATTAN","Success Academy Charter School - Harlem 5 - M482 - M123 - 84M482 - 301 WEST 140 STREET"
"W/""301884391""","Classroom Closed",882450000,"50a86bd7-67fc-eb11-94ef-001dd8301226","8/22/2021","2021-08-22T04:00:00Z","048188","8/14/2021","2021-08-14T04:00:00Z","194 HARMAN STREET","40,698,050.000000",40698050,"14e2abc9-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,920,187.000000",-73920187,"32","P.S. 376A - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 376 - K376 - K376 - 32K376 - 194 HARMAN STREET"
"W/""301858656""","Classroom Closed",882450000,"d569da02-6cfc-eb11-94ef-001dd8301226","8/21/2021","2021-08-21T04:00:00Z","048190","8/14/2021","2021-08-14T04:00:00Z","832 MARCY AVENUE","40,684,654.000000",40684654,"050ae2e1-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,947,873.000000",-73947873,"13","BOYS HS (OLD) - K","Brooklyn East Collegiate Charter School - K780 - K458 - 84K780 - 832 MARCY AVENUE"
"W/""300539805""","Classroom Closed",882450000,"542f62af-cbfa-eb11-94ef-001dd830144e","8/21/2021","2021-08-21T04:00:00Z","048040","8/12/2021","2021-08-12T04:00:00Z","147-26 25 DRIVE","40,774,906.000000",40774906,"ae0e6e25-32f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,818,607.000000",-73818607,"25","J.H.S. 185 - QUEENS","Summer - MS SUMMER RISING - Middle School - J.H.S. 185 Edward Bleeker - Q185 - Q185 - 25Q185 - 147-26 25 DRIVE"
"W/""301711913""","Classroom Closed",882450000,"20f67003-cffa-eb11-94ef-001dd830144e","8/21/2021","2021-08-21T04:00:00Z","048044","8/14/2021","2021-08-14T04:00:00Z","110 EAST  88 STREET","40,780,798.000000",40780798,"34005d7a-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,955,594.000000",-73955594,"2","P.S. 169 (ECF) - MANHATTAN","Summer - CHAPTER 683 - Elementary, Middle School - P.S. M169 - Robert F. Kennedy - M169 - M169 - 75M169 - 110 EAST  88 STREET"
"W/""301224080""","Classroom Closed",882450000,"939dfbca-63fb-eb11-94ef-001dd830144e","8/22/2021","2021-08-22T04:00:00Z","048071","8/13/2021","2021-08-13T04:00:00Z","415 AVENUE S","40,602,722.000000",40602722,"505bc58c-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,970,171.000000",-73970171,"21","P.S. 215 - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 095 The Gravesend - K095 - K215 - 21K095 - 415 AVENUE S"
"W/""301224149""","Classroom Closed",882450000,"52118542-79fb-eb11-94ef-001dd830144e","8/22/2021","2021-08-22T04:00:00Z","048092","8/13/2021","2021-08-13T04:00:00Z","74-30 COMMONWEALTH BLVD","40,744,276.000000",40744276,"ab69c231-32f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,727,632.000000",-73727632,"26","P.S./I.S. 208 - QUEENS","Summer - ES MS SUMMER RISING - Elementary, Middle School - P.S./I.S. 208 - Q208 - Q208 - 29Q208 - 74-30 COMMONWEALTH BLVD"
"W/""301267226""","Classroom Closed",882450000,"562bca96-9efb-eb11-94ef-001dd830144e","8/22/2021","2021-08-22T04:00:00Z","048122","8/13/2021","2021-08-13T04:00:00Z","280 REGIS DRIVE","40,620,310.000000",40620310,"8a11b2e2-32f4-ea11-b882-24ee9a37d45c","Staten Island",882450004,"-74,164,427.000000",-74164427,"31","ELIZABETH A. CONNELLY CAMPUS - S.I.","Summer - CHAPTER 683 - Elementary - P.S. R373 - R373 - R861 - 75R373 - 280 REGIS DRIVE"
"W/""302882062""","Classroom Closed",882450000,"3827068f-60fb-eb11-94ef-001dd830158a","8/21/2021","2021-08-21T04:00:00Z","048063","8/13/2021","2021-08-13T04:00:00Z","1827 ARCHER STREET","40,838,151.000000",40838151,"290d6d19-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,866,038.000000",-73866038,"12","P.S. 102 - BRONX","Summer - ES SUMMER RISING - Elementary - Archer Elementary School - X531 - X102 - 12X531 - 1827 ARCHER STREET"
"W/""301224100""","Classroom Closed",882450000,"0fcad602-67fb-eb11-94ef-001dd830158a","8/21/2021","2021-08-21T04:00:00Z","048076","8/13/2021","2021-08-13T04:00:00Z","415 AVENUE S","40,602,722.000000",40602722,"505bc58c-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,970,171.000000",-73970171,"21","P.S. 215 - BROOKLYN","Summer - ASD - Elementary - P.S. 215 Morris H. Weiss - K215 - K215 - 21K215 - 415 AVENUE S"
"W/""301224185""","Classroom Closed",882450000,"4edefdbf-81fb-eb11-94ef-001dd830158a","8/21/2021","2021-08-21T04:00:00Z","048102","8/13/2021","2021-08-13T04:00:00Z","442 EAST HOUSTON STREET","40,719,888.000000",40719888,"4b507380-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,977,380.000000",-73977380,"1","P.S. 188 - MANHATTAN","Summer - ES MS SUMMER RISING - Elementary, Middle School - P.S. 188 The Island School - M188 - M188 - 01M188 - 442 EAST HOUSTON STREET"
"W/""301269409""","Classroom Closed",882450000,"16af105d-8dfb-eb11-94ef-001dd830158a","8/21/2021","2021-08-21T04:00:00Z","048111","8/13/2021","2021-08-13T04:00:00Z","433 EAST 100 STREET","40,785,559.000000",40785559,"dfc88e4f-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,940,919.000000",-73940919,"4","P.S. 50 (UDC) - MANHATTAN","NYC Autism Charter School East Harlem - M337 - M050 - 84M337 - 433 EAST 100 STREET"
"W/""301853748""","Classroom Closed",882450000,"06d4952f-44fc-eb11-94ef-001dd830158a","8/22/2021","2021-08-22T04:00:00Z","048157","8/14/2021","2021-08-14T04:00:00Z","220 WEST 121 STREET","40,806,534.000000",40806534,"7241e65b-31f4-ea11-b882-24ee9a37d45c","Manhattan",882450000,"-73,951,451.000000",-73951451,"3","P.S. 76 - MANHATTAN","Summer - ES MS SUMMER RISING - Elementary, Middle School - P.S. 076 A. Philip Randolph - M076 - M076 - 03M076 - 220 WEST 121 STREET"
"W/""301379729""","Classroom Closed",882450000,"93a8a559-dcfa-eb11-94ef-001dd830160d","8/21/2021","2021-08-21T04:00:00Z","048061","8/13/2021","2021-08-13T04:00:00Z","800 VAN SICLEN AVE","40,659,934.000000",40659934,"41ebaa73-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,885,704.000000",-73885704,"19","I.S. 166 - BROOKLYN","Summer - MS SUMMER RISING - Middle School - Van Siclen Community Middle School - K654 - K166 - 19K654 - 800 VAN SICLEN AVE"
"W/""301486560""","Classroom Closed",882450000,"62b54c29-60fb-eb11-94ef-001dd830160d","8/21/2021","2021-08-21T04:00:00Z","048062","8/13/2021","2021-08-13T04:00:00Z","968 CAULDWELL AVENUE","40,824,717.000000",40824717,"a5bfa431-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,905,734.000000",-73905734,"8","P.S. 146 - BRONX","Summer - CHAPTER 683 - Elementary - P186X Walter J. Damrosch School - X186 - X146 - 75X186 - 968 CAULDWELL AVENUE"
"W/""301224064""","Classroom Closed",882450000,"97b56888-61fb-eb11-94ef-001dd830160d","8/21/2021","2021-08-21T04:00:00Z","048067","8/13/2021","2021-08-13T04:00:00Z","2060 LAFAYETTE AVENUE","40,822,288.000000",40822288,"962aa42b-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,853,157.000000",-73853157,"8","P.S. 138 - BRONX","Summer - ES SUMMER RISING - Elementary - P.S. 138 Samuel Randall - X138 - X138 - 08X138 - 2060 LAFAYETTE AVENUE"
"W/""301269853""","Classroom Closed",882450000,"54f509ae-62fb-eb11-94ef-001dd830160d","8/21/2021","2021-08-21T04:00:00Z","048070","8/13/2021","2021-08-13T04:00:00Z","2060 LAFAYETTE AVENUE","40,822,288.000000",40822288,"962aa42b-33f4-ea11-b882-24ee9a37d45c","Bronx",882450001,"-73,853,157.000000",-73853157,"8","P.S. 138 - BRONX","Summer - ES SUMMER RISING - Elementary - P.S. 138 Samuel Randall - X138 - X138 - 08X138 - 2060 LAFAYETTE AVENUE"
"W/""301275369""","Classroom Closed",882450000,"1d44a3e0-7cfb-eb11-94ef-001dd830160d","8/21/2021","2021-08-21T04:00:00Z","048096","8/13/2021","2021-08-13T04:00:00Z","1060 CLARKSON AVENUE","40,658,834.000000",40658834,"615bc58c-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,922,296.000000",-73922296,"18","P.S. 219 - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 219 Kennedy-King - K219 - K219 - 18K219 - 1060 CLARKSON AVENUE"
"W/""301711953""","Classroom Closed",882450000,"e7509d64-2bfc-eb11-94ef-001dd830160d","8/22/2021","2021-08-22T04:00:00Z","048130","8/14/2021","2021-08-14T04:00:00Z","800 GATES AVENUE","40,687,970.000000",40687970,"aae657bd-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,932,066.000000",-73932066,"16","I.S. 324 - BROOKLYN","Summer - MS SUMMER RISING - Middle School - M.S. 267 Math, Science & Technology - K267 - K324 - 16K267 - 800 GATES AVENUE"
"W/""301882314""","Classroom Closed",882450000,"5d8e2a82-2dfc-eb11-94ef-001dd830160d","8/22/2021","2021-08-22T04:00:00Z","048134","8/14/2021","2021-08-14T04:00:00Z","62 PARK PLACE","40,678,809.000000",40678809,"2604d718-31f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,976,648.000000",-73976648,"13","P.S. 77 ANNEX - BROOKLYN","Summer - MS SUMMER RISING - Middle School - M.S. K266 - Park Place Community Middle School - K266 - K902 - 13K266 - 62 PARK PLACE"
"W/""302945438""","Classroom Closed",882450000,"d11f76b1-52fc-eb11-94ef-001dd830160d","8/22/2021","2021-08-22T04:00:00Z","048173","8/14/2021","2021-08-14T04:00:00Z","194 HARMAN STREET","40,698,050.000000",40698050,"14e2abc9-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,920,187.000000",-73920187,"32","P.S. 376A - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 376 - K376 - K376 - 32K376 - 194 HARMAN STREET"
"W/""302394811""","Classroom Closed",882450000,"2740ff03-60fc-eb11-94ef-001dd830160d","8/21/2021","2021-08-21T04:00:00Z","048179","8/14/2021","2021-08-14T04:00:00Z","45-45 42ND STREET","40,742,580.000000",40742580,"d7454b50-32f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,922,604.000000",-73922604,"24","THE WALTER MCCAFFREY CAMPUS - QUEENS","Summer - ES SUMMER RISING - Elementary - The Children's Lab School - Q343 - Q313 - 24Q343 - 45-45 42ND STREET"
"W/""301849027""","Classroom Closed",882450000,"5ee6e643-66fc-eb11-94ef-001dd830160d","8/23/2021","2021-08-23T04:00:00Z","048187","8/14/2021","2021-08-14T04:00:00Z","610 BALTIC STREET","40,679,916.000000",40679916,"99e657bd-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,980,455.000000",-73980455,"13","P.S. 133 WILLIAM A. BUTLER - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 133 William A. Butler - K133 - K317 - 13K133 - 610 BALTIC STREET"
"W/""300429510""","Classroom Closed",882450000,"08ef7071-bafa-eb11-94ef-001dd8301b84","8/21/2021","2021-08-21T04:00:00Z","048027","8/12/2021","2021-08-12T04:00:00Z","3610 GLENWOOD ROAD","40,634,360.000000",40634360,"121bad3c-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,941,795.000000",-73941795,"22","PRE-K CENTER @3610 GLENWOOD ROAD - BROOKLYN","Summer - PreK ESY - PreK - The Joan Snow Pre-K Center - K853 - K042 - 22K853 - 3610 GLENWOOD ROAD"
"W/""300429530""","Classroom Closed",882450000,"ec0db60a-cafa-eb11-94ef-001dd8301b84","8/21/2021","2021-08-21T04:00:00Z","048037","8/12/2021","2021-08-12T04:00:00Z","50-40 JACOBUS STREET","40,737,405.000000",40737405,"9adc32dc-31f4-ea11-b882-24ee9a37d45c","Queens",882450003,"-73,888,133.000000",-73888133,"24","I.S. 5 - QUEENS","Summer - MS SUMMER RISING - Middle School - I.S. 5 - The Walter Crowley Intermediate School - Q005 - Q005 - 24Q005 - 50-40 JACOBUS STREET"
"W/""301224068""","Classroom Closed",882450000,"8c862d91-61fb-eb11-94ef-001dd8301b84","8/21/2021","2021-08-21T04:00:00Z","048068","8/13/2021","2021-08-13T04:00:00Z","1001 EAST  45 STREET","40,635,842.000000",40635842,"2fe2abc9-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,933,099.000000",-73933099,"22","P.S./I.S. 395 - BROOKLYN","Summer - ES MS SUMMER RISING - Elementary, Middle School - P.S. 109 - K109 - K395 - 22K109 - 1001 EAST  45 STREET"
"W/""301224213""","Classroom Closed",882450000,"86bedd1c-8efb-eb11-94ef-001dd8301b84","8/22/2021","2021-08-22T04:00:00Z","048112","8/13/2021","2021-08-13T04:00:00Z","280 REGIS DRIVE","40,620,310.000000",40620310,"8a11b2e2-32f4-ea11-b882-24ee9a37d45c","Staten Island",882450004,"-74,164,427.000000",-74164427,"31","ELIZABETH A. CONNELLY CAMPUS - S.I.","Summer - CHAPTER 683 - Elementary - P.S. R373 - R373 - R861 - 75R373 - 280 REGIS DRIVE"
"W/""301711961""","Classroom Closed",882450000,"42c9ef45-2cfc-eb11-94ef-001dd8301b84","8/22/2021","2021-08-22T04:00:00Z","048132","8/14/2021","2021-08-14T04:00:00Z","330 SMITH STREET","40,680,379.000000",40680379,"b879df48-30f4-ea11-b882-24ee9a37d45c","Brooklyn",882450002,"-73,995,486.000000",-73995486,"15","P.S. 58 - BROOKLYN","Summer - ES SUMMER RISING - Elementary - P.S. 058 The Carroll - K058 - K058 - 15K058 - 330 SMITH STREET"
